"rep";"lac";"mu";"gam";"laa";"K";"lac2";"mu2";"gam2";"laa2";"trans";"trans2"
2;0,5;0,1;0,02;0,05;20;0,5;0,1;0,02;0,35;0,2;0,02
3;0,5;0,1;0,02;0,05;20;0,5;0,1;0,02;0,35;0,2;0,02
4;0,5;0,1;0,02;0,05;20;0,5;0,1;0,02;0,35;0,2;0,02
5;0,5;0,1;0,02;0,05;20;0,5;0,1;0,02;0,35;0,2;0,02
1;0,5;0,1;0,02;0,1;20;0,5;0,1;0,02;0,3;0,2;0,02
2;0,5;0,1;0,02;0,1;20;0,5;0,1;0,02;0,3;0,2;0,02
3;0,5;0,1;0,02;0,1;20;0,5;0,1;0,02;0,3;0,2;0,02
4;0,5;0,1;0,02;0,1;20;0,5;0,1;0,02;0,3;0,2;0,02
5;0,5;0,1;0,02;0,1;20;0,5;0,1;0,02;0,3;0,2;0,02
1;0,5;0,1;0,02;0,15;20;0,5;0,1;0,02;0,25;0,2;0,02
2;0,5;0,1;0,02;0,15;20;0,5;0,1;0,02;0,25;0,2;0,02
3;0,5;0,1;0,02;0,15;20;0,5;0,1;0,02;0,25;0,2;0,02
4;0,5;0,1;0,02;0,15;20;0,5;0,1;0,02;0,25;0,2;0,02
5;0,5;0,1;0,02;0,15;20;0,5;0,1;0,02;0,25;0,2;0,02
1;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
2;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
3;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
4;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
5;0,5;0,1;0,02;0,2;20;0,5;0,1;0,02;0,2;0,2;0,02
