"rep";"lac";"mu";"gam";"laa";"K";"lac2";"mu2";"gam2";"laa2";"trans";"trans2"
2;0,3;0,240214007813483;0,01;0,2;Inf;0,3;0,159785992186517;0,01;0,2;0;0
3;0,3;0,240214007813483;0,01;0,2;Inf;0,3;0,159785992186517;0,01;0,2;0;0
4;0,3;0,240214007813483;0,01;0,2;Inf;0,3;0,159785992186517;0,01;0,2;0;0
5;0,3;0,240214007813483;0,01;0,2;Inf;0,3;0,159785992186517;0,01;0,2;0;0
1;0,3;0,123408108484;0,01;0,2;Inf;0,3;0,276591891516;0,01;0,2;0;0
2;0,3;0,123408108484;0,01;0,2;Inf;0,3;0,276591891516;0,01;0,2;0;0
3;0,3;0,123408108484;0,01;0,2;Inf;0,3;0,276591891516;0,01;0,2;0;0
4;0,3;0,123408108484;0,01;0,2;Inf;0,3;0,276591891516;0,01;0,2;0;0
5;0,3;0,123408108484;0,01;0,2;Inf;0,3;0,276591891516;0,01;0,2;0;0
1;0,3;0,0813078925013542;0,01;0,2;Inf;0,3;0,318692107498646;0,01;0,2;0;0
2;0,3;0,0813078925013542;0,01;0,2;Inf;0,3;0,318692107498646;0,01;0,2;0;0
3;0,3;0,0813078925013542;0,01;0,2;Inf;0,3;0,318692107498646;0,01;0,2;0;0
4;0,3;0,0813078925013542;0,01;0,2;Inf;0,3;0,318692107498646;0,01;0,2;0;0
5;0,3;0,0813078925013542;0,01;0,2;Inf;0,3;0,318692107498646;0,01;0,2;0;0
1;0,3;0,0912392136640847;0,01;0,2;Inf;0,3;0,308760786335915;0,01;0,2;0;0
2;0,3;0,0912392136640847;0,01;0,2;Inf;0,3;0,308760786335915;0,01;0,2;0;0
3;0,3;0,0912392136640847;0,01;0,2;Inf;0,3;0,308760786335915;0,01;0,2;0;0
4;0,3;0,0912392136640847;0,01;0,2;Inf;0,3;0,308760786335915;0,01;0,2;0;0
5;0,3;0,0912392136640847;0,01;0,2;Inf;0,3;0,308760786335915;0,01;0,2;0;0
1;0,3;0,114855935890228;0,01;0,2;Inf;0,3;0,285144064109772;0,01;0,2;0;0
2;0,3;0,114855935890228;0,01;0,2;Inf;0,3;0,285144064109772;0,01;0,2;0;0
3;0,3;0,114855935890228;0,01;0,2;Inf;0,3;0,285144064109772;0,01;0,2;0;0
4;0,3;0,114855935890228;0,01;0,2;Inf;0,3;0,285144064109772;0,01;0,2;0;0
5;0,3;0,114855935890228;0,01;0,2;Inf;0,3;0,285144064109772;0,01;0,2;0;0
1;0,3;0,183694090507925;0,01;0,2;Inf;0,3;0,216305909492075;0,01;0,2;0;0
2;0,3;0,183694090507925;0,01;0,2;Inf;0,3;0,216305909492075;0,01;0,2;0;0
3;0,3;0,183694090507925;0,01;0,2;Inf;0,3;0,216305909492075;0,01;0,2;0;0
4;0,3;0,183694090507925;0,01;0,2;Inf;0,3;0,216305909492075;0,01;0,2;0;0
5;0,3;0,183694090507925;0,01;0,2;Inf;0,3;0,216305909492075;0,01;0,2;0;0
1;0,3;0,194838919211179;0,01;0,2;Inf;0,3;0,205161080788821;0,01;0,2;0;0
2;0,3;0,194838919211179;0,01;0,2;Inf;0,3;0,205161080788821;0,01;0,2;0;0
3;0,3;0,194838919211179;0,01;0,2;Inf;0,3;0,205161080788821;0,01;0,2;0;0
4;0,3;0,194838919211179;0,01;0,2;Inf;0,3;0,205161080788821;0,01;0,2;0;0
5;0,3;0,194838919211179;0,01;0,2;Inf;0,3;0,205161080788821;0,01;0,2;0;0
1;0,3;0,145113876275718;0,01;0,2;Inf;0,3;0,254886123724282;0,01;0,2;0;0
2;0,3;0,145113876275718;0,01;0,2;Inf;0,3;0,254886123724282;0,01;0,2;0;0
3;0,3;0,145113876275718;0,01;0,2;Inf;0,3;0,254886123724282;0,01;0,2;0;0
4;0,3;0,145113876275718;0,01;0,2;Inf;0,3;0,254886123724282;0,01;0,2;0;0
5;0,3;0,145113876275718;0,01;0,2;Inf;0,3;0,254886123724282;0,01;0,2;0;0
1;0,3;0,206961805094034;0,01;0,2;Inf;0,3;0,193038194905967;0,01;0,2;0;0
2;0,3;0,206961805094034;0,01;0,2;Inf;0,3;0,193038194905967;0,01;0,2;0;0
3;0,3;0,206961805094034;0,01;0,2;Inf;0,3;0,193038194905967;0,01;0,2;0;0
4;0,3;0,206961805094034;0,01;0,2;Inf;0,3;0,193038194905967;0,01;0,2;0;0
5;0,3;0,206961805094034;0,01;0,2;Inf;0,3;0,193038194905967;0,01;0,2;0;0
1;0,3;0,24528357423842;0,01;0,2;Inf;0,3;0,15471642576158;0,01;0,2;0;0
2;0,3;0,24528357423842;0,01;0,2;Inf;0,3;0,15471642576158;0,01;0,2;0;0
3;0,3;0,24528357423842;0,01;0,2;Inf;0,3;0,15471642576158;0,01;0,2;0;0
4;0,3;0,24528357423842;0,01;0,2;Inf;0,3;0,15471642576158;0,01;0,2;0;0
5;0,3;0,24528357423842;0,01;0,2;Inf;0,3;0,15471642576158;0,01;0,2;0;0
1;0,3;0,358271790854633;0,01;0,2;Inf;0,3;0,0417282091453671;0,01;0,2;0;0
2;0,3;0,358271790854633;0,01;0,2;Inf;0,3;0,0417282091453671;0,01;0,2;0;0
3;0,3;0,358271790854633;0,01;0,2;Inf;0,3;0,0417282091453671;0,01;0,2;0;0
4;0,3;0,358271790854633;0,01;0,2;Inf;0,3;0,0417282091453671;0,01;0,2;0;0
5;0,3;0,358271790854633;0,01;0,2;Inf;0,3;0,0417282091453671;0,01;0,2;0;0
